name	id	beer_style	first_brewed	alcohol_content	original_gravity	final_gravity	ibu_scale	country	brewery_brand	color_srm	from_region	containers
Chevalier Saison	/m/0gfs8k_								Bridge Road Brewers			
Diekirch Grand Cru	/m/05gjk1x		1871									
Lagunitas Brown Shugga'	/m/05k6fb0	Seasonal beer		9.5					Lagunitas Brewing Company			/m/05k6fz8,/m/05k6fz2
Phillips Longboat Double Chocolate Porter	/m/05st9mk											
Ventnor Oyster Stout	/m/04dqq_v			4.5					Ventnor		United Kingdom	/m/04dr4g0
Haacht Gildenbier	/m/04dqqj2			7.0					Haacht		Belgium	/m/04dr55v
Bernard Speciální Cerné pivo	/m/04dqqth			5.1					Bernard		Czech Republic	/m/04dr6dz
Goose Eye Brewery Wonkey Donkey	/m/04dqrlw			4.3					Goose Eye Brewery		United Kingdom	/m/04dqzl7
Het Anker Gouden Carolus Tripel	/m/04dqt93			9.0					Het Anker		Belgium	/m/04dr4p0
Kaiser Summer Draft	/m/04dqtb6			4.5					Kaiser		Brazil	/m/04dqz6m
Efes Stary Melnik (Old Miller)	/m/04dqtcr			4.6					Efes		Russia	/m/04dr09_
Brasserie des Géants Saison Voisin	/m/04dqvcg			5.0					Brasserie des Géants		Belgium	/m/04dq_d7
Prignon Fantôme BBB Babillard Dark	/m/04dqw45			8.0					Prignon		Belgium	/m/04dqyvr
Tolly Cobbold Cobbold's Cardinal Ale	/m/04dqw5q			5.2					Tolly Cobbold		United Kingdom	/m/04dr2r7
Tin Whistle Coyote	/m/04dq9k6			5.0					Tin Whistle		Canada	/m/04dr1d7
Lindemans Kriek	/m/04dq9lr			4.0					Lindemans Brewery		Belgium	/m/04dr2sc
Wadworth & Co. Thresher Centenary Ale	/m/04dqbn6			5.0					Wadworth Brewery		United Kingdom	/m/04dr4f8
La Brasserie de Saverne Kasteel Cru	/m/04dqchb			5.2					La Brasserie de Saverne		France	/m/04dr3k4
Marin IPA	/m/04dqd62			6.5					Marin County Brewery		United States of America	/m/04dr5ng
Oc'Ale Bière Noire	/m/04dqg14			6.0					Oc'Ale		France	/m/04dr2h3
Svyturys Svyturio	/m/04dqg2p			5.0					Švyturys		Lithuania	/m/04dr2z7
Hoegaarden Grand Cru	/m/04dqg8l			8.7					Hoegaarden Brewery		Belgium	/m/04dqybh
Lodzkie Porter	/m/04dqh3y			9.5					Lodzkie		Poland	/m/04dr42s
Highgate Highland Whisky Ale	/m/04dqh89			4.4					Highgate		United Kingdom	/m/04dr203
Morland Hen's Tooth	/m/04dqhg8			6.5					Morland Brewery		United Kingdom	/m/04dqzsc
Flowers Original Strong Ale	/m/04dqhht			4.4					Flowers		United Kingdom	/m/04dq_s_
Privatbrauerei Höss Doppel Hirsch Allgäuer Doppelbock	/m/04dqj50			7.2					Privatbrauerei Höss		Germany	/m/04dr0h7
Abita 20th Annivesary Pilsner	/m/04dqjkg			5.8					Abita Brewing Company		United States of America	/m/04dq_q3
Fox Brewery IPA	/m/04dqkcv			5.2					Fox Brewery		United Kingdom	/m/04dr6lq
Caulier Bon Secours Bière Vivante!! Blonde	/m/04dqkft			8.0					Caulier		Belgium	/m/04dr6rv
Stone Brewing Co. Ruination IPA	/m/04dqlx5			7.7					Stone Brewing Company		United States of America	/m/04dqygm
Bateman's Harvest Zest	/m/04dqlyq			4.8					Batemans Brewery		United Kingdom	/m/04dr6gb
Sleeman's Honey Brown	/m/04dqm1n			5.3					Sleeman Breweries		Canada	/m/04dr4k4
Hop Back GFB	/m/04dqn2w			3.5					Hop Back Brewery		United Kingdom	/m/04dq_lr
Hevelius Kaper	/m/04dqn77			9.1					Hevelius		Poland	/m/04dqzm7
Kalamazoo Brewing Company Bells Oberon	/m/04dqn8s			6.0					Kalamazoo Brewing Company		United States of America	/m/04dr3gd
Eichbaum Premium Pils	/m/04dqnsj			4.8					Eichbaum		Germany	/m/04dqy9w
Thwaites Daniel's Hammer	/m/04dqnvh			5.2					Thwaites Brewery		United Kingdom	/m/04dr0w3
Butts Brewery Coper Organic	/m/04dqp2l			6.0					Butts Brewery		United Kingdom	/m/04dr04r
Hanssens Oude Gueuze	/m/04dqp8h			6.0					Hanssens		Belgium	/m/04dr5mb
Boddington's Draught	/m/04dqq29			3.8					Boddingtons		United Kingdom	/m/04dr1pm
Maisel's RedLight Super Premium Beer	/m/04dqbsc			4.7					Maisel's		Germany	/m/04dqxsh
Molson Dry	/m/04d2v51											
Tuborg Pilsner	/m/04dqh4l			4.6					Tuborg Brewery		Denmark	/m/04dr137
Erdinger Octoberfest	/m/04dqrph			5.6					Erdinger		Germany	/m/04dr5yz
Gentlemens Brewing Company Pale Ale	/m/04dqjs7			4.8					Gentlemens Brewing Company		Australia	/m/04dr3qx
Van Honsebrouck Kriek Vieux Bruges	/m/04dqnq_			4.5					Van Honsebrouck		Belgium	/m/04dq_7r
Deschutes Brewery Mirror Pond Pale Ale	/m/04dqn3j			5.5					Deschutes Brewery		United States of America	/m/04dqxyr
Kent Brewery Surin Blond	/m/04dqc_z			5.0					Kent Brewery		United Kingdom	/m/04dqxpr
Almaza Pilsener	/m/04dqgbb	Pilsener	1933	4.0					Almaza		Lebanon	/m/04dqzp7
Privatbrauerei Franz Joseph Sailer Altenmunster Rauchenfelser Steinbier	/m/04dqqwx			4.9					Privatbrauerei Franz Joseph Sailer		Germany	/m/04dr24r
Archers Best	/m/04dqtgc			4.0					Archers		United Kingdom	/m/04dr4yy
Huyghe Delirium Tremens	/m/04dqvfw			9.0					Huyghe Brewery		Belgium	/m/04dqy3m
De Graal Blond	/m/04dqn9f			6.5					De Graal		Belgium	/m/04dq_xw
De Cam Oude Geuze	/m/04dq9pc			6.5					De Cam		Belgium	/m/04dr65l
Brasserie De Clerck La  Belle Siska	/m/04dqkgg			7.0					Brasserie De Clerck		France	/m/04dq_gh
Robert Cain 2000 Ale	/m/04dqckr			5.0					Robert Cain		United Kingdom	/m/04dr1b7
Shaftebury Cream Ale	/m/04dqsm7			4.8					Shaftebury Brewing Company		Canada	/m/04dr5ql
Badger Brewery Original Ale	/m/04dqjts			3.8					Badger Brewery		United Kingdom	/m/04dr1r3
Iceni Raspberry Wheat	/m/04dqsns			5.0					Iceni		United Kingdom	/m/04dr19m
Pitfield Organic Eco Warrior	/m/04dqld6			4.5					Pitfield		United Kingdom	/m/04dr3cx
Schneider & Sohn Aventinus	/m/04dqcj6			8.0					G. Schneider & Sohn		Germany	/m/04dr3k0
de Smedt Postel Dobbel	/m/04dqrmj			7.0					de Smedt		Belgium	/m/04dr1fc
Nethergate Augustinian	/m/04dqq4h			4.8					Nethergate brewery		United Kingdom	/m/04dr2h_
Gastown Amber Ale	/m/05khjx_	Amber ale		5.5					Granville Island Brewing			
J.W. Lees Cask Bitter	/m/0dlfhw7	Bitter		4.0					JW Lees			
Midland Red Keg Amber	/m/0n4y43x								Midland Brewing Company			
Dock Street Amber	/m/02hv3f8	American Amber Ale										
Yuengling Traditional Amber Lager	/m/0290kgx	Amber Lager,Dark American Lager	1829	4.4					D. G. Yuengling & Son		United States of America	
Grolsch	/m/02nvpkg	Lager	1615	5.0					Grolsch Brewery		Netherlands	
Blue Moon	/m/0953kf											
Ghisa	/m/05ndq3s	Stout	1996	5.0					Birrificio Lambrate		Italy	
Jolly Pumpkin Bam Noire	/m/0lywm60								Jolly Pumpkin Artisan Ales			
Purple Gang Pilsner	/m/0lywwf4											
Atwater Shaman's Porter	/m/0lywwml								Atwater Brewery			
