name	id	cuisine	ingredients	type_of_dish1	recipes
Binalot	/m/09c02k	Filipino			
Ribbon candy	/m/09g93x8				
Rum baba	/m/0b3tn9	French			
Parsi cuisine	/m/09mhk5	Indian cuisine			
Blancmange	/m/09dsd	Spanish Cuisine,French			
Zarangollo	/m/09xss5	Spanish Cuisine			
Chinese chicken salad	/m/08__cl				
Kuchen	/m/04yfd1	German			
Mousse	/m/051vk	French			
Bonbon	/m/05hxf1				
Callaloo	/m/06dksw		Coconut milk		
Tumbet	/m/05b1b40	Spanish Cuisine			
Chocolate Soldier	/m/05n1jnv		Lime Juice,Gin,Vermouth		
Murukku	/m/087234	Indian cuisine			
B & B	/m/05n1dxm		Benedictine,Cognac		
Lemonsoda	/m/05rs73	Italian			
Cacciucco	/m/0dh__6	Italian			
Pan-bagnat	/m/0d_msv	French			
Chireta	/m/03b_mfk	Spanish Cuisine			
Chess pie	/m/04gg3x				
Steak tartare	/m/03f5_w				
Ham sandwich	/m/05v67qk		Ham		
Kheer	/m/060m6q	Udupi cuisine			
Alinazik kebab	/m/05zvscb	Turkish			
Kibbeh	/m/065pt4	Lebanese,Armenian			
Patatas bravas	/m/05msxkq	Spanish Cuisine			
Candy bar	/m/0pmlq				
Dahi puri	/m/0bq2ww	Indian cuisine			
Lynchburg lemonade	/m/0fypwt		Lemon-lime,Sour mix,Triple sec,Jack Daniel's		
Pretzel	/m/01f91_	German			
Dinengdeng	/m/0ddmw_	Filipino			
Banana ketchup	/m/0f3zmw	Filipino			
Edam	/m/0m4tt	Filipino			
Oyster pail	/m/09kqv9				
Lincolnshire sausage	/m/02r2g4m	British Cuisine			
Bánh chuối	/m/02rnfxk	Vietnamese		Dessert	
Weißwurst	/m/02pcnz	German	Veal,Bacon	Sausage	
Curry chicken	/m/02plgjv	Indian cuisine	Chicken meat		
Skirlie	/m/09v0t7	Scottish cuisine	Potato,Oatmeal,Onion		
Lemang	/m/0264_tc	Padang food,Indonesian			
Tutti frutti	/m/02qnsr0			Dessert	
BK Chicken Tenders	/m/026kccc				
Funnel cake	/m/034yds				
Tournedos	/m/02y_7cn	French			
Karah Parshad	/m/0c2zl5				
Daiquiri	/m/021l45		Gomme syrup,White Rum,Lime Juice		
Anisette	/m/01m3gx	Italian			
Melba toast	/m/0152cj			Bread	
Coda alla vaccinara	/m/07ylmh	Italian			
Tarte flambée	/m/079ftr	French			
Fish ball	/m/06qglb	Cuisine of Hong Kong			
Spodi	/m/07fvh3				
Chips Deluxe	/m/06qrwj			cookie	
Frijoles Negros	/m/074c75	Mexican			
Pasta Puttanesca	/m/07nlyz	Italian	Anchovy,Olive,Pasta,Garlic,Caper,Tomato	Pasta dish	
Avgofeta	/m/080gyfz				
Gribenes	/m/08755v	Jewish cuisine	Schmaltz	Snack food	
Cartellate	/m/07yj3ns	Apulian	Honey	Dessert,Pastry	
Rad Na	/m/0gtljt	Thai			
Persipan	/m/0gbkj3	German			
Chwee kueh	/m/0bhfcw	Singaporean cuisine			
Okinawa soba	/m/0b960h	Japanese Cuisine			
Timballo	/m/06_vxkw	Italian			
Insalata Caprese	/m/06gs1f	Italian	Basil,Olive oil,Tomato,Mozzarella		
Swiss Wing	/m/07_wn3	Cuisine of Hong Kong			
Uduk	/m/075x8c	Indonesian			
Carrot cake	/m/06gf2f		Carrot		
Ful Medames	/m/06yrp2	Lebanese			
Fuki	/m/0gphrj	Japanese Cuisine			
Kaymak	/m/0c2hn_	Turkish			
Zuppa Inglese	/m/0bglk7	Italian			
Chocolate-covered coffee bean	/m/02r9k37				
Ginataan	/m/027cyqw	Filipino			
Kabayaki	/m/026n2xl	Japanese Cuisine			
Tamagoyaki	/m/0282k2z	Japanese Cuisine			
Patisserie	/m/0277lbh	French			
Pickert	/m/028jhw	German			
Chicken nugget	/m/02fjhf		Chicken meat		
Gaisburger Marsch	/m/026fqp6	German			
Fish finger	/m/02s39d		Fish		
Bosintang	/m/0d1tkq				
Champorado	/m/0dcnjs	Filipino			
Ensalada	/m/0ddpfg	Filipino			
Porchetta	/m/068hbh	Italian			
Shrimp and Mango Salad	/m/0lb3x22	Organic / Healthy	Shrimp	Salad	
Boilermaker	/m/01h1l3		Tequila,Beer,Vodka,Scotch whisky		
Nachos	/m/01yjq3	Mexican			
Croissant	/m/015wgc			Pastry,Breakfast	
Stuffed Mushrooms	/m/07706q7		Crab meat		
Doenjang	/m/07610g	Korean			
Tofu skin roll	/m/02r_4d6	Cuisine of Hong Kong			
Taro cake	/m/02rx2x3	Cuisine of Hong Kong			
Pandebono	/m/02xgbk				
Bridge mix	/m/026xd2y				
Quadratini	/m/05znxfy	Italian			
Matzo	/m/0585y	Jewish cuisine	Flour,Water	Bread	
Cholent	/m/04yq8v	Jewish cuisine			
Yusheng	/m/057fnh	Singaporean cuisine			
Frumenty	/m/0ck_z				
Zuccotto	/m/02rb1pb	Italian			
Sate kambing	/m/027hk4g	Indonesian	Goat meat		
Balti Triangle	/m/02pt3kd	Indian cuisine			
Shortbread	/m/02clnh	Scottish cuisine		cookie	
Cassoulet	/m/02rwww	French			
Green Sauce	/m/0352wl	Italian,French			
Vasilopita	/m/02q2skw	Greek			
Beef bun	/m/02q6t6w	Cuisine of Hong Kong			
Empanada	/m/02jvms	Mexican,Spanish Cuisine			
Jatjuk	/m/04638wp				
Challah	/m/044dt_	Jewish cuisine		Bread	
Kaldereta	/m/03h2_5j	Filipino			
Lox	/m/03sw1s	Jewish cuisine	Dill,Salmon	Seafood,Breakfast	
Menudo	/m/03yc7l	Filipino,Mexican	Tripe		
Ischoklad	/m/03h4c5k				
Crumble	/m/01hcpd				
Baked beans	/m/018bp6				
Serabi	/m/05zkhv_	Indonesian,Sundanese cuisine			
Tripas	/m/0gq86z	Mexican			
Shanklish	/m/087gjw	Lebanese			
Držková	/m/07k9h0p		Tripe		
Cocktail bun	/m/07v2z7	Cuisine of Hong Kong			
Kir	/m/03ztrj		White Wine,Crème de Cassis		
Devilled kidneys	/m/045018				
Ragout of mutton	/m/04krc12				
Eggplant salads and appetizers	/m/03wgbk0	Lebanese			
Sopressata	/m/03s3rn	Italian			
Ghorabiye	/m/03nqvjj	Turkish			
Chenpi	/m/0465fs_				
Burrata	/m/04hmk8	Apulian			
Colonial Goose	/m/021sxq	New Zealand cuisine			
Prodotto agroalimentare tradizionale	/m/0523wqd	Italian			
Tapenade	/m/0658q_	French			
Gemlik olive	/m/05q4dz8	Turkish			
